smiles,Canonical_SMILES,Standardized_SMILES,InChIKey,Data
OC1=CC=C(O)C(C2CCCCCCC2)=C1,Oc1ccc(O)c(C2CCCCCCC2)c1,Oc1ccc(O)c(C2CCCCCCC2)c1,OCFACRWFEFGYDB-UHFFFAOYSA-N,Grover
CC1(C)NC(=O)N(CCC2=CC=CC=C2)C1O,CC1(C)NC(=O)N(CCc2ccccc2)C1O,CC1(C)NC(=O)N(CCc2ccccc2)C1O,HMBAGIWVHSMZGN-UHFFFAOYSA-N,Grover
N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2=CC(=CC=C2)NC1=O,NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC(C(=O)O)NC(=O)c2cccc(c2)NC1=O,NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC(C(=O)O)NC(=O)c2cccc(c2)NC1=O,LYNBJSJVJXRVTC-BZSNNMDCSA-N,Grover
CCCCN(C)C(=O)C1=CC=C2C(=C1)C1=C(N2S(=O)(=O)CC)CN(C2CCCC2)C1,CCCCN(C)C(=O)c1ccc2c(c1)c1c(n2S(=O)(=O)CC)CN(C2CCCC2)C1,CCCCN(C)C(=O)c1ccc2c(c1)c1c(n2S(=O)(=O)CC)CN(C2CCCC2)C1,OZLHJBSTXWDJKT-UHFFFAOYSA-N,Grover
CN(CCCN1C(=O)[C@@H]2CC3=CC=CC=C3CN2C1=O)C1=CC=CC=C1,CN(CCCN1C(=O)C2Cc3ccccc3CN2C1=O)c1ccccc1,CN(CCCN1C(=O)C2Cc3ccccc3CN2C1=O)c1ccccc1,YUSCAAHQWLTSSG-IBGZPJMESA-N,Grover
CC1=CC=CC(N2C(=O)N(C3=CC=CC=C3C)C3CS(=O)(=O)CC23)=C1,Cc1cccc(N2C(=O)N(c3ccccc3C)C3CS(=O)(=O)CC32)c1,Cc1cccc(N2C(=O)N(c3ccccc3C)C3CS(=O)(=O)CC32)c1,DWUXOADNYZZIEE-UHFFFAOYSA-N,Grover
COC1=CC=C2C3=C1O[C@H]1[C@]4(OC)CC[C@@]5(C[C@@H]4CNC(=O)/C=C/C4=CC=CC=C4)[C@@H](C2)N(C)CC[C@]315,COc1ccc2c3c1OC1C4(OC)CCC5(CC4CNC(=O)C=Cc4ccccc4)C(C2)N(C)CCC315,COc1ccc2c3c1OC1C4(OC)CCC5(CC4CNC(=O)C=Cc4ccccc4)C(C2)N(C)CCC315,ZHTZIUSLOIZPHL-KNTDEHBRSA-N,Grover
O=C(CSC1=NC2=CC=CC=C2N=C1C1=CC=CC=C1)N1CCCCCC1,O=C(CSc1nc2ccccc2nc1-c1ccccc1)N1CCCCCC1,O=C(CSc1nc2ccccc2nc1-c1ccccc1)N1CCCCCC1,AZKYYOXBOPFROK-UHFFFAOYSA-N,Grover
N#CC1=C(N)OC2=NC=NC(O)=C2C1C1=CC=CS1,N#CC1=C(N)Oc2ncnc(O)c2C1c1cccs1,N#CC1=C(N)Oc2nc[nH]c(=O)c2C1c1cccs1,XQHXUFTWMPGRPV-UHFFFAOYSA-N,Grover
COC1=CC2=NC=NC(NC3=CC=C(CC4=CC=CC=N4)C=C3)=C2C=C1NC(=O)/C=C/CN1CCCC1,COc1cc2ncnc(Nc3ccc(Cc4ccccn4)cc3)c2cc1NC(=O)C=CCN1CCCC1,COc1cc2ncnc(Nc3ccc(Cc4ccccn4)cc3)c2cc1NC(=O)C=CCN1CCCC1,GFPQRHXCPZSHRH-SOFGYWHQSA-N,Grover
CC1=C(OCC(=O)N(C)C2=CC=CC([N+](=O)[O-])=C2)ON=C1C(F)(F)F,Cc1c(C(F)(F)F)noc1OCC(=O)N(C)c1cccc([N+](=O)[O-])c1,Cc1c(C(F)(F)F)noc1OCC(=O)N(C)c1cccc([N+](=O)[O-])c1,XNIBFPUVFRGWGS-UHFFFAOYSA-N,Grover
O=C1C2=CC=C([N+](=O)[O-])C=C2N=CN1CC1=CC=CC=C1C(F)(F)F,O=c1c2ccc([N+](=O)[O-])cc2ncn1Cc1ccccc1C(F)(F)F,O=c1c2ccc([N+](=O)[O-])cc2ncn1Cc1ccccc1C(F)(F)F,DGXWEWDXKSUMLN-UHFFFAOYSA-N,Grover
O=C(NC1=CC=CC(F)=C1)[C@H](CSCC1=CC=CC=C1)N1CC2=CC=CC=C2C1=O,O=C(Nc1cccc(F)c1)C(CSCc1ccccc1)N1Cc2ccccc2C1=O,O=C(Nc1cccc(F)c1)C(CSCc1ccccc1)N1Cc2ccccc2C1=O,CBSITSBNYVZQPA-QFIPXVFZSA-N,Grover
